id,created_at,product_name,product_price,product_sku,product_link,itemid,ebay_price,eBay_qty,site,sku,title,matched column,market_price,calculation_price,final_price,Final_price,date,product_quantity
9310,2025-10-15 04:01:31.792749+00,FREECAT ALL NATURE GALL WAND 6PCS,$4.99 (Ex GST),XFCNGW6,https://pronto.eastdist.com/products/XFCNGW6,406101475269,26.95,5,,XFCNGW6,,XFCNGW6,,27.92,27.92,27.92,2025-10-23,IN STOCK
9311,2025-10-15 04:01:31.792749+00,FREECAT ALL NATURE SILVERVINE STICKS 10PCS,$5.3 (Ex GST),XFCNSS10,https://pronto.eastdist.com/products/XFCNSS10,406101476007,27.5,5,,XFCNSS10,,XFCNSS10,8.36,28.47,28.47,28.47,2025-10-23,IN STOCK
9312,2025-10-15 04:01:31.792749+00,FIDO'S CHEW STOP SPRAY 200ML,$6.73 (Ex GST),XFCSS200,https://pronto.eastdist.com/products/XFCSS200,406100721638,29.55,5,,XFCSS200,,XFCSS200,8.99,31.02,31.02,31.02,2025-10-23,IN STOCK
9313,2025-10-15 04:01:31.792749+00,FIDO'S CHEW STOP SPRAY 500ML,$14.29 (Ex GST),XFCSS500,https://pronto.eastdist.com/products/XFCSS500,406100721638,42.7,5,,XFCSS500,,XFCSS500,16.99,44.46,44.46,44.46,2025-10-23,IN STOCK
9314,2025-10-15 04:01:31.792749+00,FREECAT ALL NATURAL SILVERVINE TWIGGY STAR BALL,$8.99 (Ex GST),XFCSTSB1,https://pronto.eastdist.com/products/XFCSTSB1,406100721907,34.2,5,,XFCSTSB1,,XFCSTSB1,12.59,35.03,35.03,35.03,2025-10-23,IN STOCK
9315,2025-10-15 04:01:31.792749+00,DIREA 10KG 10 TABLETS,$12.91 (Ex GST),XFD10,https://pronto.eastdist.com/products/XFD10,406100721465,40.25,5,,XFD10,,XFD10,19.95,42,42,42,2025-10-23,IN STOCK
9316,2025-10-15 04:01:31.792749+00,MAVLAB  DIMMITROL HEARTWORM 200MG X 100,$17.28 (Ex GST),XFDHT200,https://pronto.eastdist.com/products/XFDHT200,406100721261,47.85,5,,XFDHT200,,XFDHT200,24,49.77,49.77,49.77,2025-10-23,IN STOCK
9317,2025-10-15 04:01:31.792749+00,MAVLAB DENTEVET + JOINT 250G,$37.78 (Ex GST),XFDJ250,https://pronto.eastdist.com/products/XFDJ250,406100719831,84.15,5,,XFDJ250,,XFDJ250,43.96,86.22,86.22,86.22,2025-10-23,IN STOCK
9318,2025-10-15 04:01:31.792749+00,MAVLAB DENTEVET POWDER 80G,$19.76 (Ex GST),XFDP80,https://pronto.eastdist.com/products/XFDP80,406100719605,53.25,5,,XFDP80,,XFDP80,29.95,54.18,54.18,54.18,2025-10-23,IN STOCK
9319,2025-10-15 04:01:31.792749+00,MAVLAB DENTAL SPRAY GEL 125ML,$14.21 (Ex GST),XFDSG125,https://pronto.eastdist.com/products/XFDSG125,406100719425,42.55,5,,XFDSG125,,XFDSG125,20.9,44.32,44.32,44.32,2025-10-23,IN STOCK
9320,2025-10-15 04:01:31.792749+00,FIDO EVERYDAY CONDITIONER SELF SERVE DOG WASH 5L,$62.34 (Ex GST),XFEDCDW5,https://pronto.eastdist.com/products/XFEDCDW5,405593731951,126.2,5,,XFEDCDW5,,XFEDCDW5,92.97,129.89,129.89,129.89,2025-10-23,IN STOCK
9321,2025-10-15 04:01:31.792749+00,FIDO'S EVERYDAY SHAMPOO 20L,$229.2 (Ex GST),XFES20,https://pronto.eastdist.com/products/XFES20,406100719280,401.75,5,,XFES20,,XFES20,330.58,426.57,426.57,426.57,2025-10-23,IN STOCK
9322,2025-10-15 04:01:31.792749+00,FISH FUEL AXOLOTL FOOD 110G,$4.4 (Ex GST),XFFAXO110,https://pronto.eastdist.com/products/XFFAXO110,406100714325,25.85,5,,XFFAXO110,,XFFAXO110,5.75,26.87,26.87,26.87,2025-10-23,IN STOCK
9323,2025-10-15 04:01:31.792749+00,FIDOS FLUFF BUSTER SHAMPOO 1LT,$27.15 (Ex GST),XFFB1,https://pronto.eastdist.com/products/XFFB1,406100719078,65,5,,XFFB1,,XFFB1,9.49,67.32,67.32,67.32,2025-10-23,IN STOCK
9324,2025-10-15 04:01:31.792749+00,FIDOS FLUFF BUSTER SHAMPOO 250ML,$8.31 (Ex GST),XFFB250,https://pronto.eastdist.com/products/XFFB250,406100719078,32.3,5,,XFFB250,,XFFB250,11.39,33.83,33.83,33.83,2025-10-23,IN STOCK
9325,2025-10-15 04:01:31.792749+00,FIDOS FLUFF BUSTER SHAMPOO 5LT,$79.04 (Ex GST),XFFB5,https://pronto.eastdist.com/products/XFFB5,406100719078,155.15,5,,XFFB5,,XFFB5,100.42,159.58,159.58,159.58,2025-10-23,IN STOCK
9326,2025-10-15 04:01:31.792749+00,FISH FUEL BABY TURTLE FOOD 110G,$4.4 (Ex GST),XFFBATUR110,https://pronto.eastdist.com/products/XFFBATUR110,406100714165,25.85,5,,XFFBATUR110,,XFFBATUR110,8.95,26.87,26.87,26.87,2025-10-23,IN STOCK
9327,2025-10-15 04:01:31.792749+00,FISH FUEL CICHLID FOOD 110G,$4.4 (Ex GST),XFFCIC110,https://pronto.eastdist.com/products/XFFCIC110,406102693082,25.85,5,,XFFCIC110,,XFFCIC110,8.95,26.87,26.87,26.87,2025-10-23,IN STOCK
9328,2025-10-15 04:01:31.792749+00,FISH FUEL COMMUNITY FOOD 110G,$4.4 (Ex GST),XFFCOM110,https://pronto.eastdist.com/products/XFFCOM110,406102695654,25.85,5,,XFFCOM110,,XFFCOM110,8.95,26.87,26.87,26.87,2025-10-23,IN STOCK
9329,2025-10-15 04:01:31.792749+00,FISH FUEL DISCUS FOOD 100G,$4.4 (Ex GST),XFFDIS110,https://pronto.eastdist.com/products/XFFDIS110,406102697156,25.85,5,,XFFDIS110,,XFFDIS110,7.5,26.87,26.87,26.87,2025-10-23,IN STOCK
9330,2025-10-15 04:01:31.792749+00,FISH FUEL HEART & PRAWN 110G,$4.4 (Ex GST),XFFHEAPR110,https://pronto.eastdist.com/products/XFFHEAPR110,406102697986,25.85,5,,XFFHEAPR110,,XFFHEAPR110,8.95,26.87,26.87,26.87,2025-10-23,IN STOCK
9331,2025-10-15 04:01:31.792749+00,FISH FUEL LIZARD FOOD 110G,$4.4 (Ex GST),XFFLIZ110,https://pronto.eastdist.com/products/XFFLIZ110,406102687957,25.85,5,,XFFLIZ110,,XFFLIZ110,6.6,26.87,26.87,26.87,2025-10-23,IN STOCK
9332,2025-10-15 04:01:31.792749+00,FISH FUEL MARINE FOOD 110G,$4.4 (Ex GST),XFFMAR110,https://pronto.eastdist.com/products/XFFMAR110,406102689281,25.85,5,,XFFMAR110,,XFFMAR110,7.5,26.87,26.87,26.87,2025-10-23,IN STOCK
9333,2025-10-15 04:01:31.792749+00,FISH FUEL MARINE GREEN 110G,$4.4 (Ex GST),XFFMARGR110,https://pronto.eastdist.com/products/XFFMARGR110,406102689580,25.85,5,,XFFMARGR110,,XFFMARGR110,9.95,26.87,26.87,26.87,2025-10-23,IN STOCK
9334,2025-10-15 04:01:31.792749+00,FISH FUEL TURTLE FOOD 110G,$4.4 (Ex GST),XFFTUR110,https://pronto.eastdist.com/products/XFFTUR110,406102690613,25.85,5,,XFFTUR110,,XFFTUR110,9.95,26.87,26.87,26.87,2025-10-23,IN STOCK
9335,2025-10-15 04:01:31.792749+00,FISH FUEL TURTLE VEG 110G,$4.4 (Ex GST),XFFTURVEG110,https://pronto.eastdist.com/products/XFFTURVEG110,406102691590,25.85,5,,XFFTURVEG110,,XFFTURVEG110,9.95,26.87,26.87,26.87,2025-10-23,IN STOCK
9336,2025-10-15 04:01:31.792749+00,FEEL GOOD DOGGO DIGESTIVE HEALTH 1KG,$40.69 (Ex GST),XFGDH1,https://pronto.eastdist.com/products/XFGDH1,406106110488,91.75,5,,XFGDH1,,XFGDH1,20,91.4,91.4,91.75,2025-10-23,IN STOCK
9337,2025-10-15 04:01:31.792749+00,FEEL GOOD DOGGO DIGESTIVE HEALTH 500GM,$20.59 (Ex GST),XFGDH500,https://pronto.eastdist.com/products/XFGDH500,406106110488,55.25,5,,XFGDH500,,XFGDH500,31.6,55.66,55.66,55.66,2025-10-23,IN STOCK
9338,2025-10-15 04:01:31.792749+00,FEEL GOOD DOGGO GOLDEN YEARS 1KG,$38.35 (Ex GST),XFGGY1,https://pronto.eastdist.com/products/XFGGY1,406106110928,87.5,5,,XFGGY1,,XFGGY1,53.87,87.24,87.24,87.5,2025-10-23,IN STOCK
9339,2025-10-15 04:01:31.792749+00,FEEL GOOD DOGGO GOLDEN YEARS 500GM,$19.44 (Ex GST),XFGGY500,https://pronto.eastdist.com/products/XFGGY500,406106110928,53.15,5,,XFGGY500,,XFGGY500,34.95,53.61,53.61,53.61,2025-10-23,IN STOCK
9340,2025-10-15 04:01:31.792749+00,FEEL GOOD DOGGO SKIN & COAT 1KG,$38.97 (Ex GST),XFGSC1,https://pronto.eastdist.com/products/XFGSC1,406106111590,88.6,5,,XFGSC1,,XFGSC1,54.57,88.34,88.34,88.6,2025-10-23,IN STOCK
9341,2025-10-15 04:01:31.792749+00,FEEL GOOD DOGGO SKIN & COAT 500GM,$19.76 (Ex GST),XFGSC500,https://pronto.eastdist.com/products/XFGSC500,406106111590,53.75,5,,XFGSC500,,XFGSC500,29.95,54.18,54.18,54.18,2025-10-23,IN STOCK
9342,2025-10-15 04:01:31.792749+00,FEEL GOOD DOGGO SMELLY DOG 1KG,$27.6 (Ex GST),XFGSD1,https://pronto.eastdist.com/products/XFGSD1,406106111937,67.95,5,,XFGSD1,,XFGSD1,48.8,68.12,68.12,68.12,2025-10-23,IN STOCK
9343,2025-10-15 04:01:31.792749+00,FEEL GOOD DOGGO SMELLY DOG 500GM,$14.11 (Ex GST),XFGSD500,https://pronto.eastdist.com/products/XFGSD500,406106111937,43.5,5,,XFGSD500,,XFGSD500,21.5,44.14,44.14,44.14,2025-10-23,IN STOCK
9344,2025-10-15 04:01:31.792749+00,FIDO'S HYDROBATH FLUSH & KENNEL CLEANER 20L,$121.7 (Ex GST),XFHFKC20,https://pronto.eastdist.com/products/XFHFKC20,406100718641,218.65,5,,XFHFKC20,,XFHFKC20,153.99,235.43,235.43,235.43,2025-10-23,IN STOCK
9345,2025-10-15 04:01:31.792749+00,FIDO'S HYDROBATH FLUSH & KENNEL CLEANER 5L,$33.88 (Ex GST),XFHFKC5,https://pronto.eastdist.com/products/XFHFKC5,406100718927,76.7,5,,XFHFKC5,,XFHFKC5,44.71,79.29,79.29,79.29,2025-10-23,IN STOCK
9346,2025-10-15 04:01:31.792749+00,FISH FUEL NUTRIS BLOODWORMS 110G,$6.77 (Ex GST),XFNURBLO110,https://pronto.eastdist.com/products/XFNURBLO110,406102688657,30.15,5,,XFNURBLO110,,XFNURBLO110,6.95,31.09,31.09,31.09,2025-10-23,IN STOCK
9347,2025-10-15 04:01:31.792749+00,FIDO'S OATMEAL CONDITIONER 1L,$24.61 (Ex GST),XFOATC1,https://pronto.eastdist.com/products/XFOATC1,406100718342,60.6,5,,XFOATC1,,XFOATC1,31.34,62.81,62.81,62.81,2025-10-23,IN STOCK
9348,2025-10-15 04:01:31.792749+00,FIDO'S OATMEAL CONDITIONER 250ML,$9.82 (Ex GST),XFOATC250,https://pronto.eastdist.com/products/XFOATC250,406100718342,34.9,5,,XFOATC250,,XFOATC250,12.82,36.51,36.51,36.51,2025-10-23,IN STOCK
9349,2025-10-15 04:01:31.792749+00,FIDO'S OODLES SHAMPOO 250ML,$8.06 (Ex GST),XFOS250,https://pronto.eastdist.com/products/XFOS250,406100716990,31.9,5,,XFOS250,,XFOS250,19.95,33.38,33.38,33.38,2025-10-23,IN STOCK
9350,2025-10-15 04:01:31.792749+00,FIDO'S OODLES SHAMPOO 500ML,$11.27 (Ex GST),XFOS500,https://pronto.eastdist.com/products/XFOS500,406100716990,37.45,5,,XFOS500,,XFOS500,14.85,39.09,39.09,39.09,2025-10-23,IN STOCK
9351,2025-10-15 04:01:31.792749+00,PERNAFLEX POWDER 125G,$28.78 (Ex GST),XFP125,https://pronto.eastdist.com/products/XFP125,406106112376,67.85,5,,XFP125,,XFP125,36.99,70.22,70.22,70.22,2025-10-23,IN STOCK
9352,2025-10-15 04:01:31.792749+00,PERNAFLEX POWDER 250G,$40.35 (Ex GST),XFP250,https://pronto.eastdist.com/products/XFP250,406106112376,87.95,5,,XFP250,,XFP250,47.99,90.79,90.79,90.79,2025-10-23,IN STOCK
9353,2025-10-15 04:01:31.792749+00,FIDO'S PUPPY & KITTEN COLOGNE SPRAY 125ML,$7.6 (Ex GST),XFPKFSS125,https://pronto.eastdist.com/products/XFPKFSS125,406100716339,31.05,5,,XFPKFSS125,,XFPKFSS125,9.3,32.56,32.56,32.56,2025-10-23,IN STOCK
9354,2025-10-15 04:01:31.792749+00,FRINGE STUDIO AVOCADO ON TOAST 3PCE,$9.83 (Ex GST),XFSAOT3,https://pronto.eastdist.com/products/XFSAOT3,406106125990,35.7,5,,XFSAOT3,,XFSAOT3,18.52,36.53,36.53,36.53,2025-10-23,IN STOCK
9355,2025-10-15 04:01:31.792749+00,FRINGE STUDIO AVOCADO LOVE,$8.83 (Ex GST),XFSAVO,https://pronto.eastdist.com/products/XFSAVO,406106189058,33.9,5,,XFSAVO,,XFSAVO,17.54,34.75,34.75,34.75,2025-10-23,IN STOCK
9356,2025-10-15 04:01:31.792749+00,FRINGE STUDIO BANANAS THE MONKEY PLUSH - EXTRA LARGE,$8.28 (Ex GST),XFSBMONXL,https://pronto.eastdist.com/products/XFSBMONXL,406120406550,35.7,5,,XFSBMONXL,,XFSBMONXL,18.52,33.77,33.77,35.7,2025-10-23,IN STOCK
9357,2025-10-15 04:01:31.792749+00,FRINGE STUDIO BUNNY LOVE SOFT PLUSH,$8.28 (Ex GST),XFSBUN,https://pronto.eastdist.com/products/XFSBUN,406120406943,35.7,5,,XFSBUN,,XFSBUN,18.99,33.77,33.77,35.7,2025-10-23,IN STOCK
